คะแนนสอบโปสเตอร์ภาคเรียนที่ 2 ปีการศึกษา 2560

อาจารย์ที่ปรึกษา,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ระบบบริหารจัดการตรวจสอบการทำงานของระบบปรับอากาศด้วยเครือข่าย Internet of Things,A System for Managing and Monitoring air Condition System with Internet of Things
ระบบวิเคราะห์วงสวิงกอล์ฟ,Golf Swing Analysis System
ระบบสั่งอาหารแบบออนไลน์สำหรับร้านอาหาร,Online Food Ordering System for Restaurants
ระบบจำลองฟิสิกส์เพื่อการศึกษา,Physic simulation for study
ระบบการลงคะแนนเสียงแบบอิเลคทรอนิกส์โดยใช้บล็อคเชนแบบส่วนตัว,Electronic Vote By Private Blockchain
ระบบตรวจสอบการทำงานเครื่องกรองน้ำ และส่งข้อมูลผ่านเครือข่ายโทรศัพท์มือถือ,Water purifier inspection system and indication via mobile network
การศึกษาพฤติกรรมการซื้อขายสินค้าบนโซเชียลเน็ตเวิร์คเพื่อสร้างระบบป้องกันการโกง,A study of behavior to buy on social network: to create a prevent of cheating system
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. บัณฑิต ฐานะโสภณ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ระบบปรับสีภาพตามผู้ใช้กำหนด,User-Guided Image Colorization
การพัฒนาเออาร์เพื่อประยุกต์ใช้ในการออกแบบจัดวางเครื่องเรือนภายในห้อง,AR development for room design
เว็ปแอพพลิเคชั่นสำหรับการค้นหาผู้ร่วมเล่นกอล์ฟ,Web Application for Golf playing Partner Finder
ออกแบบและพัฒนาสถาปัตยกรรมแบบกระจายศูนย์เพื่อจัดการควบคุมการเข้าถึงข้อมูลสุขภาพสำหรับเครือโรงพยาบาลโดยใช้บล็อคเชนส่วนบุคคล,Design and Implement a Decentralized Architecture of Access Control Manager to Health Records for a Hospital Group Using Private Blockchain
แอปพลิเคชันเครือข่ายสังคมออนไลน์เพื่อการแบ่งปันข้อมูลการท่องเที่ยว,Social Network Application for Sharing Travel Experiences
การออกแบบและพัฒนาระบบจัดการรีสอร์ต,Resort Organization and Management System
บีโร่ : แอปพลิเคชันเพื่อการช่วยเหลือซึ่งกันและกันในสังคม,BERO (BE a heRO) : Social-based assistance application
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. พรสุรีย์ แจ่มศรี

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ระบบจัดตารางสอบวิชาโครงงาน,Project 1 and 2 exam schedule management system
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. ลภัส ประดิษฐ์ทัศนีย์

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ระบบบริหารจัดการตรวจสอบการทำงานของระบบปรับอากาศด้วยเครือข่าย Internet of Things,A System for Managing and Monitoring air Condition System with Internet of Things
โปรแกรมตรวจจับวัตถุและข้อความบนป้ายโฆษณา,Text and Objects Detection on Billboards
การตรวจจับและรู้จำข้อความ,Text Detection and Recognition
ระบบซื้อขายลิขสิทธิ์ผลงานการออกแบบตัวละคร,Trading System Copyright Character Design Works
ระบบยืนยันความถูกต้องของใบแสดงผลการศึกษา,Transcript Verification System
บีโร่ : แอปพลิเคชันเพื่อการช่วยเหลือซึ่งกันและกันในสังคม,BERO (BE a heRO) : Social-based assistance application
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. สามารถ หมุดและ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ผู้ช่วยส่วนตัวอิจฉริยะในการจัดการกิจกรรมของอาจารย์,Chatbot for Professor Activity Management
การจัดเตรียมระบบสนับสนุนการทดลองด้านการประมวลผลแบบกลุ่มเมฆบนโอเพ่นสแต็ก,Cloud Computing Laboratory Environment on OpenStack
ออดิไซส์ เกมดนตรีโต้ตอบแนวใหม่,Audicise – The new generation of interactive Music Games
โปรแกรมตรวจจับวัตถุและข้อความบนป้ายโฆษณา,Text and Objects Detection on Billboards
ระบบสั่งอาหารแบบออนไลน์สำหรับร้านอาหาร,Online Food Ordering System for Restaurants
ระบบการสร้างสรรค์เพลงร่วมกันสำหรับผู้เริ่มต้น,Collaborative Music Creation System for Beginners
แอปพลิเคชันมือถือร่วมสร้างสรรค์ของกลุ่มคนสำหรับร้องขอความช่วยเหลือฉุกเฉิน,A Crowd-Based Mobile Application for Requesting Emergency Assistance
ระบบซื้อขายลิขสิทธิ์ผลงานการออกแบบตัวละคร,Trading System Copyright Character Design Works
ออกแบบและพัฒนาระบบประกันการเดินทางโดยเครื่องบินโดยสาร ในรูปแบบของสัญญาอัจฉริยะ โดยใช้เทคโนโลยีบล๊อคเชนส่วนบุคคล,Design and Development Airplane traveling insurance system in the form of Smart Contract by using Private Blockchain
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. สิริอร วิทยากร

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
การทำนายการสำเร็จการศึกษาจากข้อมูลการลงทะเบียนนักศึกษา,Prediction of Graduation Success from Student Registration Data
ระบบจัดการค่ายและการจัดการงานต่างๆ,Camp and Event Management System
แอปพลิเคชันเว็บและมือถือสำหรับติดตามและแจ้งเตือนเด็กที่ถูกลืมในรถตู้โรงเรียนอนุบาลโดยใช้เซ็นเซอร์ไอโอที,Web and Mobile Applications for Tracking and Notification of Forgotten Children in a Kindergarten Van Using Multiple IoT-Based Sensors
ระบบตรวจสอบการทำงานเครื่องกรองน้ำ และส่งข้อมูลผ่านเครือข่ายโทรศัพท์มือถือ,Water purifier inspection system and indication via mobile network
การศึกษาแนวทางการพัฒนาระบบควบคุมขบวนโรบอทคาร์แบบทำงานอิสระ,A Study on Autonomous Robot-Car Platoons System
การศึกษาเปรียบเทียบเชิงประสิทธิภาพระหว่าง Bare-metal network และ Virtualization network,The performance comparison between bare-metal network and virtualization network
การวิเคราะห์ปัจจัยของข่าวเศรษฐกิจที่มีผลต่อการขึ้นลงของราคาหุ้นในตลาด,Economic News Factors Affect to Increasing and Decreasing of Stock Price
เว๊ปไซค์ประมูลสินค้าออนไลน์ ภายใน สจล.,Online Auction website for KMITL Commanity
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ดร. สุภวรรณ ทัศนประเสริฐ

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ระบบการสร้างสรรค์เพลงร่วมกันสำหรับผู้เริ่มต้น,Collaborative Music Creation System for Beginners
การศึกษาแนวทางการควบคุมการกระจายการจราจรบนเครือข่ายด้วยเทคโนโลยี SDN,A study on network traffic distribution using SDN technology
การสร้างแบบจำลองสมการโครงสร้างเพื่อศึกษาปัจจัยที่ส่งผลต่อความสำเร็จของสตาร์ทอัพในประเทศไทย,Modelling the Potential of Startup in Thailand using Structural Equation Model
แอปพลิเคชันบนมือถือเพื่อฟื้นฟูการเคลื่อนไหวของผุ้ป่วยโรคอัมพาต,Mobile Application for Recovering Paralysis Patient's Motion
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
เว็บแอพพลิเคชั่นสนับสนุนการปรับแต่งสีภาพ,Web application for editing color
ระบบบันทึกการเข้าเรียนและการประเมินการสอน,Student Attendance Record and Teaching Evaluation System
ออกแบบและพัฒนาระบบประกันการเดินทางโดยเครื่องบินโดยสาร ในรูปแบบของสัญญาอัจฉริยะ โดยใช้เทคโนโลยีบล๊อคเชนส่วนบุคคล,Design and Development Airplane traveling insurance system in the form of Smart Contract by using Private Blockchain
การศึกษาแนวทางการควบคุมการกระจายการจราจรบนเครือข่ายด้วยเทคโนโลยี SDN,A study on network traffic distribution using SDN technology
การวิเคราะห์เพลงเพื่อจัดหมวดหมู่ตามอารมณ์ของเพลง โดยใช้เทคนิคเหมืองข้อมูล,Song Classification by Moods of Song Using data Mining Technique
************,************,************,************,************,************,************,************,************,************,************
************,************,************,************,************,************,************,************,************,************,************
อาจารย์ที่ปรึกษา,ผศ. ดร. กิติ์สุชาต พสุภา

รายชื่อโครงงานภาษาไทย,รายชื่อโครงงานภาษาอังกฤษ,การตรงต่อเวลา,บุคลิกภาพและการแต่งกาย,ความชัดเจนในการอธิบาย,ความชัดเจนในการตอบคำถาม,ความชัดเจนของสื่อ,คุณภาพของโครงงาน
ออดิไซส์ เกมดนตรีโต้ตอบแนวใหม่,Audicise – The new generation of interactive Music Games
ระบบบันทึกการเข้าเรียนและการประเมินการสอน,Student Attendance Record and Teaching Evaluation System
สิ่งแวดล้อมเพื่อการพัฒนาซอฟต์แวร์แบบทางไกลสำหรับการเขียนโปรแกรมแบบจับคู่ พร้อมด้วยการวิเคราะห์คุณภาพและการตรวจทานรหัสคำสั่ง,An Enhanced Remote Software Development Environment for Pair-Programming with Code Review and Quality Analysis
แอปพลิเคชันมือถือร่วมสร้างสรรค์ของกลุ่มคนสำหรับร้องขอความช่วยเหลือฉุกเฉิน,A Crowd-Based Mobile Application for Requesting Emergency Assistance
