การสอบโปสเตอร์ ณ วันที่ 21/05/2018
ลำดับ,รายชื่อโปรเจค,อาจารย์คนที่ 1,อาจารย์คนที่ 2,อาจารย์คนที่ 3
1,ผู้ช่วยส่วนตัวอิจฉริยะในการจัดการกิจกรรมของอาจารย์,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,อาจารย์อนันตพัฒน์ อนันตชัย,อาจารย์วารุณี บัววิรัตน์
2,ระบบจัดตารางสอบวิชาโครงงาน,ผศ. ดร. ปานวิทย์ ธุวะนุติ,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,รศ. ดร. สุขสันต์ พาณิชพาพิบูล
3,อัลกอริทึมการวิเคราะห์อารมณ์จากข้อความโดยใช้พจนานุกรมบนสื่อสังคมออนไลน์ในหัวข้อข่าวเศรษฐกิจบนทวิตเตอร์,รศ. ดร. นพพร โชติกกำธร,รศ. ดร. วรพจน์ กรีสุระเดช,อาจารย์อนันตพัฒน์ อนันตชัย
4,การจัดเตรียมระบบสนับสนุนการทดลองด้านการประมวลผลแบบกลุ่มเมฆบนโอเพ่นสแต็ก,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ผศ. ดร. กันต์พงษ์ วรรัตน์ปัญญา,ผศ. ดร. สุภกิจ นุตยะสกุล
5,ระบบบริหารจัดการตรวจสอบการทำงานของระบบปรับอากาศด้วยเครือข่าย Internet of Things,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,ผศ. ดร. สุภกิจ นุตยะสกุล,รศ. ดร. วรพจน์ กรีสุระเดช
6,ออดิไซส์ เกมดนตรีโต้ตอบแนวใหม่,ผศ. ดร. สุภกิจ นุตยะสกุล,ผศ. ดร. สุเมธ ประภาวัต,รศ. ดร. โชติพัชร์ ภรณวลัย
7,การพัฒนาเกมส์โดยใช้เทคนิคการประมวลผลภาพแบบ Physically-Base Rendering,ผศ. ดร. กนกวรรณ อัจฉริยะชาญวณิช,ดร. สุภวรรณ ทัศนประเสริฐ,รศ. ดร. โชติพัชร์ ภรณวลัย
8,ระบบปรับสีภาพตามผู้ใช้กำหนด,ผศ. ดร. ปานวิทย์ ธุวะนุติ,ผศ. ดร. สมเกียรติ วังศิริพิทักษ์,ผศ. อัครินทร์ คุณกิตติ
9,การพัฒนาเออาร์เพื่อประยุกต์ใช้ในการออกแบบจัดวางเครื่องเรือนภายในห้อง,รศ. ดร. โชติพัชร์ ภรณวลัย,รศ. ดร. วรพจน์ กรีสุระเดช,อาจารย์อนันตพัฒน์ อนันตชัย
10,โปรแกรมตรวจจับวัตถุและข้อความบนป้ายโฆษณา,ดร. สุภวรรณ ทัศนประเสริฐ,ผศ. ดร. สุเมธ ประภาวัต,อาจารย์อนันตพัฒน์ อนันตชัย
